,precision,recall,f1-score,support
0,0.9473684210526315,0.6,0.7346938775510204,60.0
1,0.9361069836552749,0.875,0.9045226130653266,720.0
2,0.9164490861618799,0.936,0.9261213720316623,750.0
3,0.9402654867256637,0.9444444444444444,0.942350332594235,450.0
4,0.7896678966789668,0.9727272727272728,0.8716904276985744,660.0
5,0.8848684210526315,0.8539682539682539,0.8691437802907915,630.0
6,0.9814814814814815,0.7066666666666667,0.821705426356589,150.0
7,0.9064748201438849,0.84,0.8719723183391004,450.0
8,0.9234234234234234,0.9111111111111111,0.9172259507829977,450.0
9,0.9795081967213115,0.9958333333333333,0.987603305785124,480.0
10,0.9682299546142209,0.9696969696969697,0.9689629068887207,660.0
11,0.9576059850374065,0.9142857142857143,0.9354445797807551,420.0
12,0.9848484848484849,0.9420289855072463,0.962962962962963,690.0
13,0.9741847826086957,0.9958333333333333,0.9848901098901099,720.0
14,0.9960474308300395,0.9333333333333333,0.9636711281070747,270.0
15,0.965,0.919047619047619,0.9414634146341463,210.0
16,0.9866666666666667,0.9866666666666667,0.9866666666666668,150.0
17,0.9887005649717514,0.9722222222222222,0.9803921568627451,360.0
18,0.8732782369146006,0.8128205128205128,0.8419654714475432,390.0
19,0.6619718309859155,0.7833333333333333,0.717557251908397,60.0
20,0.7543859649122807,0.9555555555555556,0.8431372549019609,90.0
21,0.9705882352941176,0.36666666666666664,0.532258064516129,90.0
22,0.9099099099099099,0.8416666666666667,0.8744588744588745,120.0
23,0.92,0.7666666666666667,0.8363636363636363,150.0
24,0.4892086330935252,0.7555555555555555,0.593886462882096,90.0
25,0.8900414937759336,0.89375,0.8918918918918919,480.0
26,0.9192546583850931,0.8222222222222222,0.8680351906158357,180.0
27,0.4393939393939394,0.48333333333333334,0.46031746031746035,60.0
28,0.9387755102040817,0.92,0.9292929292929293,150.0
29,0.8809523809523809,0.8222222222222222,0.8505747126436781,90.0
30,0.8055555555555556,0.7733333333333333,0.7891156462585034,150.0
31,0.8448275862068966,0.9074074074074074,0.875,270.0
32,0.64,0.8,0.7111111111111111,60.0
33,0.9082969432314411,0.9904761904761905,0.9476082004555809,210.0
34,0.9133858267716536,0.9666666666666667,0.9392712550607287,120.0
35,0.9821428571428571,0.9871794871794872,0.9846547314578005,390.0
36,0.981651376146789,0.8916666666666667,0.9344978165938865,120.0
37,0.7808219178082192,0.95,0.8571428571428571,60.0
38,0.9275956284153005,0.9840579710144928,0.9549929676511956,690.0
39,0.9666666666666667,0.9666666666666667,0.9666666666666667,90.0
40,0.7093023255813954,0.6777777777777778,0.6931818181818181,90.0
41,0.8461538461538461,0.9166666666666666,0.8799999999999999,60.0
42,0.8585858585858586,0.9444444444444444,0.8994708994708994,90.0
accuracy,0.9115597783056215,0.9115597783056215,0.9115597783056215,0.9115597783056215
macro avg,0.8799917504363414,0.8662558590624819,0.866138058176281,12630.0
weighted avg,0.9167605839630645,0.9115597783056215,0.9113017156622063,12630.0
